Year,Average Closing Price,Year Open,Year High,Year Low,Year Close
2022,$97.10,$76.08,$123.70,$76.08,$87.52
2021,$68.17,$47.62,$84.65,$47.62,$75.21
2020,$39.68,$61.17,$63.27,$11.26,$48.52
2019,$56.99,$46.31,$66.24,$46.31,$61.14
2018,$65.23,$60.37,$77.41,$44.48,$45.15
2017,$50.80,$52.36,$60.46,$42.48,$60.46
2016,$43.29,$36.81,$54.01,$26.19,$53.75
2015,$48.66,$52.72,$61.36,$34.55,$37.13
2014,$93.17,$95.14,$107.95,$53.45,$53.45
2013,$97.98,$93.14,$110.62,$86.65,$98.17
2012,$94.05,$102.96,$109.39,$77.72,$91.83
2011,$94.88,$91.59,$113.39,$75.40,$98.83
2010,$79.48,$81.52,$91.48,$64.78,$91.38
2009,$61.95,$46.17,$81.03,$34.03,$79.39
2008,$99.67,$99.64,$145.31,$30.28,$44.60
2007,$72.34,$60.77,$99.16,$50.51,$95.95
2006,$66.05,$63.11,$77.05,$55.90,$60.85
2005,$56.64,$42.16,$69.91,$42.16,$61.06
2004,$41.51,$33.71,$56.37,$32.49,$43.36
2003,$31.08,$31.97,$37.96,$25.25,$32.51
2002,$26.19,$21.13,$32.68,$18.02,$31.21
2001,$25.98,$27.29,$32.21,$17.50,$19.96
2000,$30.38,$25.56,$37.22,$23.91,$26.72
1999,$19.35,$12.42,$28.03,$11.38,$25.76
1998,$14.42,$17.41,$17.93,$10.82,$12.14
1997,$20.61,$25.55,$26.55,$17.60,$17.65
1996,$22.12,$19.83,$26.55,$17.33,$25.90
1995,$18.43,$17.45,$20.53,$16.86,$19.54
1994,$17.20,$14.52,$20.72,$13.89,$17.77
1993,$18.43,$19.03,$21.05,$13.98,$14.19
1992,$20.58,$19.43,$23.03,$17.89,$19.49
1991,$21.54,$26.53,$32.25,$17.43,$19.15
1990,$24.53,$22.88,$41.07,$15.43,$28.48
1989,$19.64,$17.38,$24.62,$16.99,$21.84
1988,$15.97,$17.77,$18.54,$12.58,$17.12
1987,$19.20,$18.13,$22.44,$15.12,$16.74
